recordType,valid,arm,pane,rep,at,openMs,bubbles,contentHash,expectedHash,readiness,harness,configCaptureMs,configHash,configProtocol,uptimeBefore,uptimeAfter,error
diagnostic,True,r2,header,round3-profile,2026-09-15T05:27:19.773Z,886.8000000007451,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:27  up  7:58, 14 users, load averages: 16.85 16.88 18.10","22:27  up  7:58, 14 users, load averages: 15.35 16.56 17.97",
diagnostic,True,r3,header,round3-profile,2026-09-15T05:27:28.395Z,1000.8000000007451,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:27  up  7:58, 14 users, load averages: 15.35 16.56 17.97","22:27  up  7:58, 14 users, load averages: 14.60 16.38 17.90",
timing,True,r2,header,round4-1,2026-09-15T05:29:20.619Z,1901.5,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:29  up 8 hrs, 14 users, load averages: 11.46 14.88 17.14","22:29  up 8 hrs, 14 users, load averages: 11.50 14.74 17.05",
timing,True,r2,cf-person-inbox,round4-1,2026-09-15T05:29:35.483Z,139,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:29  up 8 hrs, 14 users, load averages: 11.50 14.74 17.05","22:29  up  8:01, 14 users, load averages: 10.58 14.43 16.92",
timing,True,r4,header,round4-1,2026-09-15T05:29:42.378Z,929.3000000007451,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:29  up  8:01, 14 users, load averages: 10.58 14.43 16.92","22:29  up  8:01, 14 users, load averages: 9.57 14.09 16.77",
timing,True,r4,cf-person-inbox,round4-1,2026-09-15T05:29:51.301Z,117.70000000298023,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:29  up  8:01, 14 users, load averages: 9.57 14.09 16.77","22:29  up  8:01, 14 users, load averages: 9.37 13.97 16.71",
timing,True,r4,cf-person-inbox,round4-2,2026-09-15T05:29:56.262Z,141.59999999776483,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:29  up  8:01, 14 users, load averages: 9.37 13.97 16.71","22:30  up  8:01, 14 users, load averages: 9.50 13.92 16.67",
timing,True,r4,header,round4-2,2026-09-15T05:30:01.816Z,1219.9000000022352,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:30  up  8:01, 14 users, load averages: 9.50 13.92 16.67","22:30  up  8:01, 14 users, load averages: 8.98 13.74 16.59",
timing,True,r2,cf-person-inbox,round4-2,2026-09-15T05:30:09.652Z,207.19999999925494,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:30  up  8:01, 14 users, load averages: 8.98 13.74 16.59","22:30  up  8:01, 14 users, load averages: 8.58 13.58 16.52",
timing,True,r2,header,round4-2,2026-09-15T05:30:15.789Z,1872.300000000745,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:30  up  8:01, 14 users, load averages: 8.58 13.58 16.52","22:30  up  8:01, 14 users, load averages: 10.79 13.76 16.52",
